# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2579
#@/user_id	gudk
a 	啊	c=21 d=2.40962 t=2579
mei ge 	每個	c=1 d=0.913931 t=2579
mei guo 	美國	c=1 d=0.0141223 t=2579
mei ren 	沒人	c=2 d=0.616979 t=2579
mei shi 	沒事	c=4 d=0.339945 t=2579
mei shuo 	沒說	c=1 d=0.00704808 t=2579
mei xi 	沒戲	c=2 d=0.208045 t=2579
mei yong 	沒用	c=1 d=0.640824 t=2579
mei you 	沒有	c=12 d=0.96102 t=2579
mei yuan 	美元	c=1 d=0.431711 t=2579
mei yue 	每月	c=1 d=1 t=1100
men 	們	c=1 d=0.064894 t=2579
men 	門	c=1 d=0.67032 t=2579
meng 	夢	c=1 d=0.00941925 t=2579
meng chuang 	萌創	c=4 d=1.0386 t=2579
mi ma 	密碼	c=9 d=1.55217 t=2579
mian 	面	c=2 d=0.460773 t=2579
mian shui 	免稅	c=1 d=0.0155297 t=2579
ming nian 	明年	c=2 d=1.37158 t=2075
ming tian 	明天	c=5 d=2.32912 t=2579
ming xi 	明細	c=1 d=1 t=2454
ming xi biao 	明細表	c=1 d=1 t=1074
ming xiang 	明翔	c=3 d=0.390794 t=2579
ming zi 	名字	c=4 d=1.25641 t=2579
mo 	莫	c=1 d=1 t=1510
mo kuai 	模塊	c=1 d=0.0432828 t=2579
mo ni 	模擬	c=1 d=0.00628242 t=2579
mo shui 	墨水	c=1 d=0.802519 t=2579
mu bo 	木博	c=2 d=1.96079 t=2091
mu duo 	木多	c=2 d=0.687289 t=2579
mu lu 	目錄	c=1 d=0.873716 t=2579
mu qian 	目前	c=1 d=1 t=2055
na 	拿	c=3 d=0.360595 t=2579
na 	那	c=16 d=1.20369 t=2579
na bian 	那邊	c=6 d=0.481257 t=2579
na dao 	拿到	c=1 d=0.440432 t=2579
na dao 	那倒	c=1 d=0.0220377 t=2579
na ge 	哪個	c=1 d=0.225373 t=2579
na ge 	那個	c=4 d=0.0925506 t=2579
na jiu 	那就	c=1 d=0.0113902 t=2579
na li 	哪裏	c=1 d=0.00726273 t=2579
na me 	那麼	c=1 d=1 t=1258
na shui ren 	納稅人	c=1 d=1.01086 t=2036
na xie 	那些	c=2 d=0.167392 t=2579
na zhong 	那種	c=1 d=0.0253494 t=2579
nan 	男	c=1 d=0.650509 t=2579
nan dao 	難道	c=1 d=0.995012 t=2579
nan mian 	南面	c=1 d=1 t=1648
nan tong 	南通	c=2 d=1.75201 t=1183
ne 	呢	c=11 d=1.91688 t=2579
nei hao 	內耗	c=1 d=1 t=1885
nei rong 	內容	c=3 d=0.514274 t=2579
nei xiao 	內銷	c=1 d=0.0497871 t=2579
neng 	能	c=7 d=1.20041 t=2579
neng bu neng 	能不能	c=1 d=0.472367 t=2579
ni 	你	c=55 d=4.14044 t=2579
ni de 	你的	c=1 d=0.0168231 t=2579
ni hao 	你好	c=2 d=0.668366 t=2579
ni men 	你們	c=3 d=0.386741 t=2579
nian 	年	c=16 d=1.98273 t=2579
nian chu 	年初	c=1 d=0.56836 t=2579
nian jun 	年均	c=1 d=0.995012 t=2579
nian san 	廿三	c=0 d=0.0677057 t=2579
nian san li 	廿三裏	c=1 d=0.680451 t=2579
nin 	您	c=2 d=0.0165441 t=2579
nong 	弄	c=4 d=0.996403 t=2579
nong ge 	弄個	c=1 d=0.0685632 t=2579
nuo nuo 	諾諾	c=1 d=0.0443785 t=2579
o 	哦	c=10 d=0.873716 t=2579
ou 	偶	c=1 d=0.869358 t=2579
ou yue 	甌越	c=1 d=0.105399 t=2579
pai 	拍	c=1 d=0.0195457 t=2579
pai hang 	排行	c=1 d=0.00904991 t=2579
pai hang bang 	排行榜	c=1 d=0.00878245 t=2579
pai xu 	排序	c=2 d=0.0109239 t=2579
pai zhao 	拍照	c=1 d=0.0114473 t=2579
pan duan 	判斷	c=1 d=0.158025 t=2579
pan li 	盤裏	c=1 d=0.0461896 t=2579
pei he 	配合	c=2 d=0.218778 t=2579
pei zhi 	配置	c=1 d=0.00577048 t=2579
peng 	彭	c=2 d=1.85642 t=2322
peng you 	朋友	c=1 d=1 t=2136
pi cha 	劈叉	c=1 d=0.0116786 t=2579
pi pei 	匹配	c=1 d=0.261846 t=2579
pian yi 	便宜	c=1 d=0.756486 t=2579
pian yi dian 	便宜點	c=1 d=0.341298 t=2579
piao 	票	c=3 d=0.293395 t=2579
pin lei 	品類	c=1 d=0.918512 t=2579
po jie 	破解	c=1 d=0.00660453 t=2579
pu tong 	普通	c=3 d=1.03122 t=2031
qi 	器	c=1 d=0.0117371 t=2579
qi 	期	c=2 d=0.0276857 t=2579
qi 	琪	c=1 d=1 t=2349
qi 	齊	c=1 d=0.0773047 t=2579
qi che 	汽車	c=3 d=2.9605 t=2145
qi dong 	啓動	c=1 d=0.603506 t=2579
qi lai 	起來	c=2 d=0.91484 t=2579
qi ta 	其他	c=6 d=2.58287 t=2579
qi ye 	企業	c=5 d=2.18775 t=2214
qian 	千	c=2 d=0.399813 t=2579
qian 	欠	c=2 d=1.06173 t=1783
qian 	籤	c=0 d=0.1 t=1935
qian 	錢	c=7 d=1.82433 t=2579
qian chu 	遷出	c=2 d=0.0426431 t=2579
qian he tong 	籤合同	c=1 d=1 t=1936
qian mian 	前面	c=2 d=1 t=2579
qian ru han 	遷入函	c=2 d=0.0159707 t=2579
qian xu 	謙虛	c=1 d=0.444858 t=2579
qian zi 	籤字	c=1 d=0.591555 t=2579
qiao 	喬	c=1 d=1 t=1940
qie huan 	切換	c=1 d=0.148823 t=2579
qing 	情	c=1 d=0.0995012 t=2579
qing chang 	慶昌	c=2 d=1.27913 t=2579
qing kuang 	情況	c=3 d=0.421527 t=2579
qu 	區	c=1 d=0.0997588 t=2579
qu 	去	c=9 d=1.74598 t=2579
qu 	取	c=4 d=2.91116 t=2579
qu bie 	區別	c=1 d=0.955997 t=2579
qu hui 	取回	c=1 d=0.71177 t=2579
quan 	券	c=1 d=0.0792617 t=2579
quan wen 	全文	c=1 d=0.00831246 t=2579
quan zhong 	權重	c=1 d=0.895834 t=2579
que ding 	確定	c=1 d=0.806541 t=2579
que qie 	確切	c=1 d=1 t=1976
que ren 	確認	c=2 d=1.92312 t=1102
que shi 	確實	c=1 d=0.25284 t=2579
qun 	羣	c=1 d=1 t=1419
ran hou 	然後	c=1 d=1 t=1609
rang 	讓	c=3 d=0.896438 t=2579
ren 	人	c=3 d=0.837914 t=2579
ren 	任	c=1 d=1 t=2389
ren yuan 	人員	c=1 d=1 t=1821
ren zheng 	認證	c=1 d=0.774916 t=2579
ri 	日	c=1 d=1 t=1142
ri yong pin 	日用品	c=2 d=1.32109 t=2579
rong 	榮	c=4 d=1.35785 t=2579
rong xiu 	榮秀	c=1 d=0.690734 t=2579
rong zi 	融資	c=2 d=1.92312 t=1103
ru guo 	如果	c=2 d=0.981656 t=2579
ru zhang 	入賬	c=1 d=0.353455 t=2579
ruan jian 	軟件	c=1 d=0.588605 t=2579
rui 	瑞	c=2 d=1.63445 t=2217
rui 	睿	c=2 d=0.156165 t=2579
san ge yue 	三個月	c=1 d=0.416862 t=2579
sao 	掃	c=2 d=0.600496 t=2579
sao miao 	掃描	c=1 d=0.0119742 t=2579
sha 	啥	c=1 d=0.346456 t=2579
sha yi si 	啥意思	c=1 d=0.0159229 t=2579
shan diao 	刪掉	c=1 d=0.759572 t=2579
shang 	上	c=2 d=0.802519 t=2579
shang ban 	上班	c=1 d=1 t=1724
shang biao 	商標	c=1 d=0.433874 t=2579
shang chuan 	上傳	c=1 d=0.00860854 t=2579
shang ci 	上次	c=2 d=0.83543 t=2579
shang ge 	上個	c=2 d=1.90032 t=1761
shang hai 	上海	c=1 d=1 t=2060
shang hang 	商行	c=1 d=0.00653881 t=2579
shang jiao 	上交	c=1 d=1 t=1666
shang mao 	商貿	c=3 d=0.253764 t=2579
shang men 	上門	c=1 d=0.167797 t=2579
shang mian 	上面	c=2 d=0.0308074 t=2579
shang wu 	上午	c=1 d=0.173774 t=2579
shao 	少	c=1 d=0.965605 t=2579
shao 	邵	c=2 d=0.269828 t=2579
she bao 	社保	c=7 d=0.985112 t=2579
she bei 	設備	c=2 d=0.822835 t=2579
she zhi 	設置	c=3 d=0.677057 t=2579
shen bao 	申報	c=5 d=0.0560484 t=2579
shen bao biao 	申報表	c=1 d=1 t=1598
shen fen zheng 	身份證	c=1 d=0.0816756 t=2579
shen he 	審核	c=3 d=1.40042 t=2471
shen ji 	審計	c=1 d=1 t=2255
shen me 	什麼	c=7 d=1.87092 t=2579
shen me yang 	什麼樣	c=1 d=1 t=2253
shen qing 	申請	c=2 d=1.96079 t=1660
shen qing shu 	申請書	c=1 d=1 t=2559
sheng chan 	生產	c=2 d=0.108609 t=2579
sheng ji 	升級	c=1 d=0.522046 t=2579
sheng xin 	省心	c=1 d=1 t=1309
sheng yi 	生意	c=1 d=1 t=1206
shi 	是	c=42 d=7.06554 t=2579
shi 	試	c=1 d=0.66034 t=2579
shi bai 	失敗	c=2 d=1.27655 t=2579
shi bu shi 	是不是	c=3 d=0.771052 t=2579
shi chang 	市場	c=1 d=1 t=2331
shi de 	是的	c=3 d=0.985112 t=2579
shi guo 	試過	c=1 d=0.631284 t=2579
shi hou 	時候	c=1 d=1 t=1253
shi jian 	時間	c=2 d=0.13332 t=2579
shi pin 	飾品	c=2 d=0.0195183 t=2579
shi qing 	事情	c=1 d=1 t=1430
shi shi 	試試	c=4 d=2.088 t=2579
shi wu suo 	事務所	c=1 d=1 t=2233
shi yong 	使用	c=1 d=0.00733572 t=2579
shi yong 	試用	c=1 d=0.726149 t=2579
shi zai 	實在	c=1 d=0.0125881 t=2579
shou 	收	c=1 d=0.425283 t=2579
shou ci 	首次	c=1 d=0.201897 t=2579
shou dao 	收到	c=5 d=1.07411 t=2579
shou fei 	收費	c=2 d=1.93707 t=2458
shou hou 	售後	c=1 d=0.826959 t=2579
shou ji 	手機	c=6 d=3.59376 t=2579
shou jian 	收件	c=1 d=1 t=1180
shou jian ren 	收件人	c=1 d=1 t=2182
shou na 	收納	c=3 d=0.0307158 t=2579
shou quan 	授權	c=1 d=0.0536647 t=2579
shou xu 	手續	c=3 d=2.87888 t=1334
shu 	數	c=1 d=1.09005 t=1604
shu biao 	鼠標	c=2 d=0.017022 t=2579
shu ju 	數據	c=9 d=2.79549 t=2579
shu qian 	淑倩	c=1 d=0.00647375 t=2579
shu ru 	輸入	c=2 d=0.985112 t=2579
shu ru fa 	輸入法	c=2 d=0.0117778 t=2579
shu zi 	數字	c=1 d=0.744532 t=2579
shua xin 	刷新	c=1 d=0.315058 t=2579
shuang 	雙	c=3 d=0.324652 t=2579
shuang jie 	雙傑	c=2 d=0.865022 t=2579
shuang pin 	雙拼	c=3 d=1.29751 t=2579
shui 	稅	c=3 d=0.119433 t=2579
shui 	誰	c=1 d=1 t=2519
shui dian 	稅點	c=1 d=1 t=2043
shui kuan 	稅款	c=3 d=1.37167 t=2579
shui wu 	稅務	c=1 d=0.0266491 t=2579
shui wu ju 	稅務局	c=2 d=1.12307 t=2535
shui zhong 	稅種	c=2 d=1.95123 t=1737
shuo 	碩	c=1 d=0.00932553 t=2579
shuo 	說	c=8 d=0.907984 t=2579
shuo dao 	說到	c=1 d=0.88692 t=2579
si 	思	c=2 d=0.155386 t=2579
si ren 	私人	c=1 d=0.0057994 t=2579
song 	送	c=1 d=0.16696 t=2579
song ling san 	送零散	c=1 d=1 t=1058
suan 	算	c=4 d=1.98977 t=2579
sui bian 	隨便	c=2 d=0.597584 t=2579
suo yi 	所以	c=3 d=0.535261 t=2579
ta 	他	c=4 d=0.913948 t=2579
ta ban 	踏板	c=2 d=0.00960953 t=2579
ta men 	他們	c=9 d=1.01695 t=2579
tai 	太	c=3 d=0.744532 t=2579
tai 	泰	c=1 d=1 t=2142
tai da 	太大	c=1 d=1 t=1299
tan xiao 	攤銷	c=4 d=3.83502 t=1105
tao 	套	c=1 d=0.246597 t=2579
tao bao 	淘寶	c=1 d=0.00752142 t=2579
ti gong 	提供	c=2 d=0.400517 t=2579
ti huan 	替換	c=1 d=0.985112 t=2579
ti jiao 	提交	c=6 d=1.18483 t=2579
ti shi 	提示	c=4 d=0.0184819 t=2579
tian 	填	c=2 d=0.771052 t=2579
tian mi 	甜蜜	c=1 d=0.0196437 t=2579
tian tai 	天台	c=1 d=0.232236 t=2579
ting 	挺	c=1 d=0.00878245 t=2579
ting diao 	停掉	c=1 d=1 t=1837
tong 	童	c=1 d=0.344728 t=2579
tong bu 	同步	c=1 d=0.0206508 t=2579
tong ji 	統計	c=2 d=0.514274 t=2579
tong yi 	統一	c=1 d=1 t=1109
tong zhi 	通知	c=1 d=1 t=2459
tou zi 	投資	c=1 d=1 t=1302
tui 	退	c=2 d=0.239483 t=2579
tui shui 	退稅	c=6 d=0.543051 t=2579
tui xiao 	推銷	c=1 d=1 t=1961
tuo 	拓	c=1 d=0.00806679 t=2579
tuo 	拖	c=1 d=0.00543443 t=2579
tuo che 	拖車	c=0 d=0.1 t=2446
tuo che fei 	拖車費	c=1 d=1 t=2447
tuo fan 	拓凡	c=2 d=0.0163259 t=2579
wa sai 	哇塞	c=1 d=1 t=1204
wai hui 	外匯	c=4 d=0.414783 t=2579
wai mao 	外貿	c=1 d=0.107528 t=2579
wai mian 	外面	c=1 d=1 t=1817
wai xiao 	外銷	c=1 d=1 t=2415
wan 	萬	c=6 d=0.561945 t=2579
wan de 	萬得	c=1 d=0.900325 t=2579
wang 	王	c=8 d=1.31636 t=2579
wang 	網	c=1 d=0.97531 t=2579
wang ji 	忘記	c=1 d=1 t=1403
wang shang 	網上	c=1 d=0.207008 t=2579
wang yin 	網銀	c=1 d=0.177284 t=2579
wang zhan 	網站	c=1 d=0.00869506 t=2579
wei 	位	c=2 d=0.125556 t=2579
wei 	未	c=4 d=0.163786 t=2579
wei 	煒	c=5 d=1.2667 t=2579
wei lai 	未來	c=4 d=0.0360658 t=2579
wei sha 	爲啥	c=1 d=0.458406 t=2579
wei tuo 	委託	c=2 d=0.600496 t=2579
wei xin 	微信	c=1 d=0.349938 t=2579
wen 	問	c=7 d=1.95132 t=2579
wen 	文	c=1 d=1 t=2064
wen ben 	文本	c=2 d=1.94099 t=2579
wen ding 	穩定	c=1 d=0.546074 t=2579
wen guo 	問過	c=1 d=0.211189 t=2579
wen jian 	文件	c=4 d=0.960789 t=2579
wen ti 	問題	c=9 d=1.78597 t=2579
wen wen 	問問	c=6 d=1.04494 t=2579
wen zhang 	文章	c=1 d=1 t=1344
wo 	我	c=57 d=6.27944 t=2579
wo 	蝸	c=1 d=1 t=1057
wo men 	我們	c=6 d=1.59818 t=2579
wo shuo 	我說	c=1 d=1 t=1062
wo yao 	我要	c=1 d=0.900325 t=2579
wu 	吳	c=1 d=0.00657159 t=2579
wu 	無	c=1 d=1 t=2127
wu bi 	務必	c=1 d=1 t=1803
wu bi 	無比	c=1 d=1 t=1799
wu fa 	無法	c=1 d=1 t=1607
wu jie 	無解	c=1 d=1 t=1327
wu jin 	五金	c=1 d=0.0065062 t=2579
wu qu 	五區	c=4 d=0.66365 t=2579
wu tiao 	五條	c=1 d=1 t=1870
xi 	夕	c=2 d=0.164607 t=2579
xi guan 	習慣	c=2 d=0.0547526 t=2579
xi tong 	系統	c=8 d=3.48435 t=2579
xia 	下	c=2 d=0.0105213 t=2579
xia 	瞎	c=0 d=0.00236356 t=2579
xia ban 	下班	c=2 d=0.777515 t=2579
xia ci 	下次	c=1 d=1 t=1996
xia dan 	下單	c=1 d=0.0132336 t=2579
xia lai 	下來	c=1 d=1 t=2220
xia zai 	下載	c=2 d=0.57695 t=2579
xia zhe teng 	瞎折騰	c=2 d=0.0281677 t=2579
xian 	先	c=12 d=1.18734 t=2579
xian shi 	顯示	c=2 d=1.16608 t=2579
xian zai 	現在	c=11 d=0.831104 t=2579
xian zi 	仙子	c=1 d=1 t=1715
xiang 	向	c=2 d=0.0740177 t=2579
xiang 	想	c=1 d=1 t=2295
xiang bao 	箱包	c=1 d=1 t=2528
xiang fu 	相符	c=1 d=0.0182243 t=2579
xiang guan 	相關	c=2 d=1.90032 t=1364
xiang mu 	項目	c=1 d=0.509156 t=2579
xiang xi 	詳細	c=2 d=0.27908 t=2579
xiao 	曉	c=2 d=0.985112 t=2579
xiao gui mo 	小規模	c=5 d=2.85718 t=2067
xiao he 	小鶴	c=2 d=0.451581 t=2579
xiao shou 	銷售	c=1 d=1 t=1721
xiao yao 	逍遙	c=1 d=0.0995012 t=2579
xiao yao wen qing 	逍遙問情	c=1 d=1 t=2579
xie 	寫	c=2 d=0.927743 t=2579
xie xie 	謝謝	c=1 d=1 t=1868
xie zi 	鞋子	c=1 d=1 t=2050
xin 	信	c=1 d=1 t=1549
xin 	新	c=5 d=1.05083 t=2579
xin ban 	新版	c=2 d=0.0126913 t=2579
xin gu 	新股	c=1 d=0.170333 t=2579
xin gu 	新谷	c=1 d=0.171187 t=2579
xin li 	欣麗	c=1 d=1 t=2527
xin xi 	信息	c=4 d=0.123041 t=2579
xin yong 	信用	c=1 d=1 t=1110
xing 	星	c=1 d=0.0753961 t=2579
xing 	行	c=2 d=0.265803 t=2579
xing fei 	興飛	c=1 d=1 t=1886
xing fu 	幸福	c=1 d=0.246597 t=2579
xiu gai 	修改	c=1 d=0.265803 t=2579
xiu zheng 	修正	c=1 d=1 t=2308
xiu zheng an 	修正案	c=1 d=1 t=2314
xu 	須	c=2 d=0.0109782 t=2579
xu yao 	需要	c=3 d=0.729789 t=2579
xuan 	選	c=3 d=0.0459488 t=2579
xuan ze 	選擇	c=2 d=0.992825 t=2579
xue 	學	c=1 d=0.25284 t=2579
xue 	雪	c=3 d=0.99005 t=2579
xue fen 	學分	c=1 d=0.0051953 t=2579
xun 	迅	c=1 d=1 t=1534
ya 	呀	c=2 d=0.694197 t=2579
ya 	壓	c=1 d=0.0141931 t=2579
ya yu 	雅譽	c=2 d=0.0577445 t=2579
yan 	言	c=1 d=0.0746459 t=2579
yan fa bu 	研發部	c=1 d=1 t=1818
yan zheng ma 	驗證碼	c=1 d=0.882497 t=2579
yang 	楊	c=2 d=1.38674 t=2096
yang 	樣	c=1 d=1 t=1952
yang zi 	樣子	c=3 d=0.56421 t=2579
yao 	要	c=38 d=4.41029 t=2579
yao kan 	要看	c=1 d=0.856415 t=2579
yao me 	要麼	c=3 d=0.517023 t=2579
yao qiu 	要求	c=2 d=0.814647 t=2579
yao si 	要死	c=1 d=1 t=1973
ye 	也	c=24 d=2.35828 t=2579
ye 	葉	c=1 d=1 t=1453
ye shi 	也是	c=1 d=1 t=1509
ye wu 	業務	c=2 d=0.537944 t=2579
ye wu liang 	業務量	c=1 d=0.484325 t=2579
ye wu yuan 	業務員	c=1 d=1 t=1980
yi 	億	c=1 d=0.00873865 t=2579
yi 	已	c=1 d=1 t=2101
yi ban 	一般	c=4 d=1.7672 t=2579
yi ban na shui ren 	一般納稅人	c=1 d=1 t=1593
yi ci 	一次	c=1 d=1 t=1806
yi di 	一地	c=1 d=1 t=1283
yi dian 	一點	c=3 d=0.0446553 t=2579
yi ding yao 	一定要	c=1 d=1 t=1658
yi dun fan 	一頓飯	c=1 d=0.759572 t=2579
yi ge 	一個	c=9 d=1.30607 t=2579
yi ge ren 	一個人	c=1 d=0.0187793 t=2579
yi jing 	已經	c=5 d=0.330229 t=2579
yi liao 	醫療	c=1 d=0.145148 t=2579
yi lou 	一樓	c=3 d=2.98506 t=2149
yi nei 	以內	c=1 d=0.00615802 t=2579
yi nian 	一年	c=6 d=1.15284 t=2579
yi qi 	一起	c=5 d=0.462784 t=2579
yi qian 	以前	c=4 d=0.028297 t=2579
yi sao 	一掃	c=1 d=0.603506 t=2579
yi shang 	以上	c=1 d=1 t=2579
yi si 	意思	c=3 d=0.752014 t=2579
yi tian 	一天	c=2 d=1.67368 t=1984
yi wei 	以爲	c=1 d=0.114178 t=2579
yi wu 	義烏	c=2 d=1.95324 t=2169
yi wu gou 	義烏購	c=1 d=1 t=1930
yi wu shi 	義烏市	c=4 d=1.11332 t=2579
yi xia 	一下	c=25 d=3.43503 t=2579
yi xie 	一些	c=1 d=0.218712 t=2579
yi yang 	一樣	c=2 d=1 t=2579
yi yi 	異議	c=1 d=0.425283 t=2579
yi yuan 	醫院	c=1 d=0.904837 t=2579
yi zhang 	一張	c=1 d=0.0495388 t=2579
yin hang 	銀行	c=8 d=0.758102 t=2579
yin wei 	因爲	c=2 d=0.138761 t=2579
yin xiang 	印象	c=1 d=0.878095 t=2579
ying 	盈	c=1 d=1 t=2130
ying gai 	應該	c=8 d=0.950112 t=2579
ying wen 	英文	c=1 d=0.00530026 t=2579
ying xiang 	影響	c=1 d=0.818731 t=2579
ying xiao 	營銷	c=1 d=1 t=1982
yong 	永	c=1 d=0.00660453 t=2579
yong 	用	c=7 d=1.20587 t=2579
yong pin 	用品	c=3 d=2.9605 t=2146
you 	又	c=2 d=0.551596 t=2579
you 	有	c=25 d=3.64526 t=2579
you da 	優達	c=1 d=1 t=1807
you dian 	有點	c=3 d=0.951229 t=2579
you ge 	有個	c=5 d=0.53 t=2579
you kong 	有空	c=2 d=0.726149 t=2579
you le 	有了	c=1 d=0.810584 t=2579
you xian 	有限	c=4 d=0.422179 t=2579
you xian gong si 	有限公司	c=1 d=0.97531 t=2579
you xie 	有些	c=1 d=0.737123 t=2579
you ya 	優雅	c=1 d=0.00670434 t=2579
you yi 	友誼	c=1 d=0.970446 t=2579
you yong 	有用	c=1 d=0.594521 t=2579
you zheng 	郵政	c=1 d=0.00591656 t=2579
yu 	域	c=1 d=0.0132999 t=2579
yu 	宇	c=1 d=0.0739031 t=2579
yu 	於	c=3 d=0.0569084 t=2579
yu 	虞	c=1 d=0.0121846 t=2579
yu e 	餘額	c=1 d=1 t=1076
yu long 	玉龍	c=1 d=1 t=2184
yu long 	禹龍	c=1 d=1 t=2185
yu suan 	預算	c=1 d=0.0129068 t=2579
yu zhi yue 	虞智躍	c=1 d=1 t=2159
yuan 	元	c=4 d=1.35418 t=2579
yuan 	園	c=0 d=0.0683861 t=2579
yuan dong 	苑東	c=2 d=1.3145 t=2579
yuan lai 	原來	c=1 d=0.763379 t=2579
yuan zu 	元組	c=1 d=0.00546167 t=2579
yue 	月	c=20 d=3.58195 t=2579
yue 	越	c=2 d=1.97521 t=2579
yue 	躍	c=1 d=0.0117371 t=2579
yue di 	月底	c=1 d=1 t=1794
yue fen 	月份	c=8 d=1.03475 t=2579
yun 	暈	c=1 d=0.718924 t=2579
yun 	雲	c=1 d=0.0176891 t=2579
yun lv 	韻律	c=2 d=0.0095616 t=2579
yun ying 	運營	c=2 d=1.84191 t=2579
za 	咋	c=2 d=1.76721 t=1264
zai 	再	c=4 d=0.657047 t=2579
zai 	在	c=14 d=1.5201 t=2579
zen me 	怎麼	c=16 d=3.0944 t=2579
zen me yang 	怎麼樣	c=1 d=1 t=2577
zeng jia 	增加	c=1 d=0.0204453 t=2579
zeng liang 	增量	c=1 d=0.319819 t=2579
zeng zhi shui 	增值稅	c=1 d=1 t=1459
zhai quan 	債券	c=1 d=0.0135686 t=2579
zhang 	帳	c=1 d=0.0523397 t=2579
zhang 	張	c=4 d=0.30314 t=2579
zhang 	章	c=2 d=0.597501 t=2579
zhang cheng 	章程	c=2 d=1.97045 t=2313
zhang de 	長得	c=1 d=0.282239 t=2579
zhang hao 	帳號	c=5 d=1.15595 t=2579
zhang jia 	張家	c=0 d=0.0683861 t=2579
zhang jia 	漲價	c=2 d=0.0652717 t=2579
zhang jia yuan 	張家園	c=1 d=0.687289 t=2579
zhang shang 	賬上	c=1 d=0.937067 t=2579
zhang wu 	帳務	c=1 d=0.0578443 t=2579
zhao 	找	c=6 d=0.912127 t=2579
zhao dao 	找到	c=5 d=0.643149 t=2579
zhao ji 	着急	c=1 d=0.0148464 t=2579
zhao li 	照理	c=1 d=0.267135 t=2579
zhao pian 	照片	c=1 d=0.0780817 t=2579
zhao qiang 	趙強	c=1 d=1 t=2124
zhe 	折	c=1 d=0.729789 t=2579
zhe 	者	c=1 d=0.00766535 t=2579
zhe 	這	c=2 d=0.747752 t=2579
zhe bian 	這邊	c=2 d=0.380269 t=2579
zhe ci 	這次	c=2 d=1.11511 t=2579
zhe ge 	這個	c=22 d=4.54784 t=2579
zhe ge yue 	這個月	c=2 d=0.606531 t=2579
zhe hang 	這行	c=1 d=0.0325493 t=2579
zhe jiang 	浙江	c=1 d=0.0198411 t=2579
zhe jiang sheng 	浙江省	c=2 d=0.67368 t=2579
zhe li 	這裏	c=7 d=1.51593 t=2579
zhe liang ge 	這兩個	c=1 d=1 t=2433
zhe me 	這麼	c=3 d=0.826959 t=2579
zhe piao 	這票	c=2 d=0.0119742 t=2579
zhe suan lv 	折算率	c=1 d=0.079659 t=2579
zhe teng 	折騰	c=0 d=0.00236356 t=2579
zhe xie 	這些	c=4 d=0.42789 t=2579
zhe yang 	這樣	c=8 d=1.43907 t=2579
zhe zhang 	這張	c=2 d=0.01649 t=2579
zhe zhong 	這種	c=1 d=1 t=1499
zheng 	正	c=1 d=0.0742736 t=2579
zheng 	證	c=2 d=0.436049 t=2579
zheng ce 	政策	c=2 d=1.04807 t=1881
zheng chang 	正常	c=4 d=1.83272 t=2579
zheng jiu 	拯救	c=0 d=0.000687406 t=2579
zheng jiu zhe 	拯救者	c=1 d=0.00690852 t=2579
zheng ming 	證明	c=1 d=0.99005 t=2579
zheng quan 	證券	c=2 d=0.0264684 t=2579
zheng shu 	證書	c=2 d=1.53884 t=2579
zheng wu 	政務	c=1 d=0.965605 t=2579
zhi 	智	c=1 d=0.0116786 t=2579
zhi 	至	c=3 d=0.0571937 t=2579
zhi bo 	直播	c=1 d=0.00711891 t=2579
zhi dao 	知道	c=3 d=0.571691 t=2579
zhi fu bao 	支付寶	c=2 d=0.597501 t=2579
zhi gong 	職工	c=1 d=0.0160829 t=2579
zhi jie 	直接	c=3 d=2.03197 t=2579
zhi na jin 	滯納金	c=1 d=0.752014 t=2579
zhi neng 	只能	c=2 d=1.53579 t=2579
zhi qian 	之前	c=1 d=0.0132999 t=2579
zhi yao 	只要	c=1 d=0.100259 t=2579
zhi ying 	智影	c=1 d=0.798516 t=2579
zhi you 	只有	c=1 d=1 t=1719
zhi yue 	智躍	c=2 d=2.04828 t=2164
zhi zhao 	執照	c=2 d=0.559898 t=2579
zhi zhi 	制止	c=1 d=1 t=1632
zhi zhi 	紙質	c=1 d=1 t=1633
zhong 	中	c=3 d=0.0245687 t=2579
zhong 	種	c=1 d=1 t=1500
zhong hang 	中行	c=1 d=1 t=1066
zhong ji 	中級	c=1 d=0.666977 t=2579
zhong wen 	中文	c=1 d=1 t=2579
zhou 	州	c=1 d=1 t=1155
zhou wu 	周五	c=2 d=0.23947 t=2579
zhou yi 	周一	c=1 d=1 t=1663
zhu ban 	主板	c=1 d=0.00887071 t=2579
zhu bao 	珠寶	c=1 d=0.0107269 t=2579
zhu ce 	注冊	c=1 d=0.085435 t=2579
zhu shou 	助手	c=2 d=0.571668 t=2579
zhu xiao 	注消	c=1 d=0.0250972 t=2579
zhu xiao 	注銷	c=2 d=0.831104 t=2579
zhu yao 	主要	c=2 d=0.149575 t=2579
zhua jin 	抓緊	c=6 d=0.0382707 t=2579
zhuan 	賺	c=1 d=0.923116 t=2579
zhuan 	轉	c=1 d=0.00554422 t=2579
zhuan piao 	專票	c=2 d=0.0502874 t=2579
zhuan zhang 	轉賬	c=1 d=0.0057417 t=2579
zhuang shi 	裝飾	c=2 d=1.96079 t=2092
zhui hui 	追回	c=1 d=1 t=2102
zi 	姿	c=1 d=1 t=1147
zi 	字	c=1 d=1 t=2305
